,Date,City,Country,Clouds,Humidity,Lat,Long,Max Temp,Wind Speed
127,1560992379,Cairns,AU,0,53,-16.92,145.77,75.99,11.41
128,1560992481,Yar-Sale,RU,27,60,66.83,70.83,38.69,7.78
129,1560992483,Saint-Pierre,FR,0,93,48.95,4.24,66.2,4.7
130,1560992484,Cabedelo,BR,20,100,-6.97,-34.84,73.4,6.93
131,1560992485,Erzincan,TR,75,77,39.75,39.49,64.4,5.82
132,1560992229,Muskogee,US,20,65,35.75,-95.37,84.99,5.82
133,1560992420,Makakilo City,US,90,46,21.35,-158.09,91.4,10.29
134,1560992489,Leningradskiy,RU,5,70,69.38,178.42,39.59,11.72
135,1560992490,Vostok,RU,99,52,46.45,135.83,69.11,1.97
136,1560992491,Tyukhtet,RU,0,67,56.54,89.31,54.89,4.27
137,1560992492,Sola,NO,75,87,58.89,5.65,55.4,3.36
138,1560992493,Manicore,BR,25,63,-5.81,-61.3,79.37,2.44
139,1560992495,Bouca,CF,66,83,6.51,18.28,72.89,2.73
140,1560992496,Yueyang,CN,43,80,29.36,113.12,83.51,13.22
141,1560992497,Saint-Augustin,FR,90,93,44.83,-0.61,64.99,2.24
142,1560992170,Port Lincoln,AU,100,88,-34.72,135.86,53.81,21.68
143,1560992113,Isangel,VU,75,69,-19.55,169.27,80.6,9.17
144,1560992134,Torbay,CA,75,87,47.66,-52.73,53.01,2.19
145,1560992501,Bonthe,SL,37,88,7.53,-12.5,78.65,7.31
146,1560992503,Qasigiannguit,GL,59,70,68.82,-51.19,46.4,3.36
147,1560992504,Pagsangahan,PH,0,66,11.13,124.56,85.31,1.79
148,1560992505,Tuatapere,NZ,100,77,-46.13,167.69,46.99,17.43
149,1560992506,Parczew,PL,93,100,51.64,22.9,60.8,4.7
150,1560992185,Kaitangata,NZ,100,81,-46.28,169.85,39.99,1.99
151,1560992509,Sorland,NO,21,92,67.67,12.69,50.03,6.38
152,1560992510,Mahebourg,MU,20,56,-20.41,57.7,73.4,13.87
153,1560992511,Deputatskiy,RU,95,41,69.3,139.9,66.59,13.18
154,1560992512,Turayf,SA,0,60,31.68,38.65,69.8,9.17
155,1560992514,Todos Santos,MX,20,27,23.45,-110.23,97.0,10.29
156,1560992175,Provideniya,RU,0,81,64.42,-173.23,48.2,13.42
157,1560992516,Saskylakh,RU,0,40,71.97,114.09,67.31,16.96
158,1560992517,Pisco,PE,90,82,-13.71,-76.2,62.6,5.82
159,1560992518,Launceston,AU,0,80,-41.43,147.14,46.0,2.24
160,1560992520,Kuruman,ZA,71,56,-27.46,23.43,42.01,8.86
161,1560992521,Richards Bay,ZA,48,73,-28.77,32.06,64.25,12.21
162,1560992523,Shelburne,CA,1,72,44.08,-80.2,73.99,3.36
163,1560992251,East London,ZA,100,24,-33.02,27.91,61.55,6.08
164,1560992525,Biak,ID,100,98,-0.91,122.88,65.51,5.48
165,1560992166,Lata,IN,3,66,30.78,78.62,33.47,4.9
166,1560992527,Sao Filipe,CV,5,86,14.9,-24.5,73.79,21.0
167,1560992529,Peace River,CA,90,67,56.23,-117.29,57.2,4.7
168,1560992531,Tezu,IN,100,93,27.93,96.16,72.71,2.68
169,1560992533,Adwa,ET,82,86,14.16,38.9,62.27,2.3
170,1560992535,Espanola,CA,38,84,46.27,-81.77,66.0,4.23
171,1560992536,Kudahuvadhoo,MV,100,74,2.67,72.89,84.23,9.8
172,1560992538,Coquimbo,CL,0,93,-29.95,-71.34,66.99,3.36
173,1560992539,Saint-Francois,FR,90,88,46.42,3.91,64.4,3.36
174,1560992541,Anjangaon,IN,94,54,21.16,77.31,85.67,13.98
175,1560992542,Hualmay,PE,26,81,-11.1,-77.61,64.25,9.98
176,1560992294,Mount Vernon,US,90,48,48.42,-122.33,64.0,10.29
177,1560992544,Sioux Lookout,CA,20,23,50.1,-91.92,75.2,3.24
178,1560992420,Kavaratti,IN,100,78,10.57,72.64,83.33,22.32
179,1560992384,Edwardsville,US,40,73,38.81,-89.95,80.01,8.05
180,1560992551,Bedong,MY,75,83,5.73,100.51,84.2,9.17
181,1560992553,Kolokani,ML,23,44,13.58,-8.03,87.47,6.51
182,1560992556,Hasaki,JP,75,83,35.73,140.83,75.0,12.75
183,1560992222,Namibe,AO,0,76,-15.19,12.15,71.99,4.63
184,1560992359,Newport,GB,75,93,51.59,-3.0,55.99,11.41
185,1560992247,Port Elizabeth,US,40,94,39.31,-74.98,81.0,9.17
186,1560992561,Iskateley,RU,99,79,67.68,53.15,35.63,3.74
187,1560992562,Gulabpura,IN,0,62,25.91,74.66,82.43,7.14
188,1560992563,Emerald,AU,0,38,-23.53,148.16,63.0,19.46
189,1560992564,Camabatela,AO,0,50,-8.19,15.37,62.99,1.99
190,1560992566,Medicine Hat,CA,75,42,50.04,-110.68,64.4,17.22
191,1560992567,Iqaluit,CA,40,61,63.75,-68.52,50.0,2.24
192,1560992359,Yerbogachen,RU,28,52,61.28,108.01,67.31,2.08
193,1560992569,Tarko-Sale,RU,6,76,64.92,77.78,46.99,1.01
194,1560992570,Kamalapuram,IN,70,56,14.6,78.67,85.13,19.44
195,1560992571,Arinos,BR,0,59,-15.92,-46.11,65.51,4.38
196,1560992572,Qaqortoq,GL,0,58,60.72,-46.03,55.4,10.29
197,1560992574,Saint George,GR,20,88,39.45,22.34,77.0,4.7
198,1560992575,Nome,US,40,70,30.04,-94.42,87.8,11.41
199,1560992576,Zeya,RU,0,46,53.74,127.27,62.81,6.4
200,1560992577,Saint-Joseph,FR,0,63,43.56,6.97,69.01,3.36
201,1560992579,Sur,OM,10,58,22.57,59.53,85.85,14.54
202,1560992580,General Cepeda,MX,75,68,25.38,-101.48,75.0,2.19
203,1560992582,Chokurdakh,RU,90,42,70.62,147.9,66.95,4.12
204,1560992583,Toul,FR,20,82,48.68,5.89,64.99,5.82
205,1560992199,Cherskiy,RU,43,28,68.75,161.3,71.45,7.61
206,1560992585,Basco,US,75,100,40.33,-91.2,69.8,9.17
207,1560992586,Luganville,VU,75,74,-15.51,167.18,82.4,11.41
208,1560992587,Juan Lacaze,UY,0,71,-34.43,-57.44,57.59,18.45
209,1560992588,Camopi,GF,79,98,3.17,-52.33,71.99,2.39
210,1560992590,Lensk,RU,100,72,60.71,114.91,62.45,1.39
211,1560992591,Maple Creek,CA,93,56,49.91,-109.46,62.09,20.29
212,1560992299,Alexandria,US,20,62,31.31,-92.44,90.0,11.41
213,1560992593,Swan River,CA,29,59,52.11,-101.27,62.99,6.55
214,1560992594,Lithakia,GR,0,100,37.72,20.83,71.01,8.46
215,1560992596,Xuzhou,CN,100,72,34.27,117.18,78.83,8.57
216,1560992597,Chulucanas,PE,0,64,-5.1,-80.16,72.89,14.58
217,1560992598,Quelimane,MZ,21,95,-17.88,36.89,63.71,6.24
218,1560992599,Thames,NZ,40,67,-37.14,175.55,61.0,19.46
219,1560992579,Hastings,NZ,56,62,-39.64,176.84,48.77,3.53
220,1560992601,Braintree,GB,75,100,51.88,0.55,61.0,4.7
221,1560992603,Santa Barbara,US,1,56,34.42,-119.7,78.01,11.41
222,1560992604,Diyarb Najm,EG,0,51,30.75,31.44,80.6,6.93
223,1560992605,Ambon,FR,0,93,47.55,-2.56,62.01,5.82
224,1560992348,Olga,US,20,47,34.11,-118.17,82.4,11.41
225,1560992608,Dhidhdhoo,MV,100,79,6.88,73.1,83.87,17.11
226,1560992608,Sao Felix do Xingu,BR,8,96,-6.64,-51.99,70.91,2.77
227,1560992610,Marabba,SD,1,51,12.35,32.18,85.67,18.81
228,1560992611,Hurbanovo,SK,72,93,47.88,18.2,68.0,2.24
229,1560992612,Palmer,AU,75,66,-34.85,139.16,53.01,9.17
230,1560992613,Bambous Virieux,MU,20,56,-20.34,57.76,73.4,13.87
231,1560992615,Xichang,CN,44,86,27.88,102.25,62.99,3.18
232,1560992616,Kimbe,PG,100,66,-5.56,150.15,84.05,4.92
233,1560992617,Los Llanos de Aridane,ES,0,72,28.66,-17.92,68.0,4.7
234,1560992323,Baghdad,IQ,0,37,33.3,44.38,84.2,10.29
235,1560992522,La Paz,MX,40,27,24.15,-110.32,97.0,11.41
236,1560992621,Mgandu,TZ,0,72,-5.96,34.11,58.67,10.65
237,1560992622,San Cristobal,EC,94,90,-0.39,-78.55,46.99,0.6
238,1560992623,Marrakesh,MA,0,64,31.63,-7.99,69.8,4.7
239,1560992624,Bethel,US,90,62,60.79,-161.76,59.0,17.22
240,1560992626,Solnechnyy,RU,98,64,50.72,136.64,56.15,6.71
241,1560992511,Kailua,US,75,62,21.39,-157.74,91.4,12.75
242,1560992628,Beringovskiy,RU,100,22,63.05,179.32,75.05,4.9
243,1560992629,Zinder,NE,0,19,13.81,8.99,94.31,3.15
244,1560992630,Nouadhibou,MR,8,73,20.93,-17.03,71.6,18.34
245,1560992631,Grand Gaube,MU,20,56,-20.01,57.66,73.4,13.87
246,1560992633,Fortuna,ES,0,88,38.18,-1.13,71.01,1.12
247,1560992368,Dingle,PH,79,74,11.0,122.67,82.97,2.57
248,1560992637,Nizwa,OM,27,36,22.93,57.53,79.19,2.68
249,1560992639,Mayna,RU,8,66,53.0,91.49,56.15,1.97
250,1560992640,Sanbu,CN,100,81,33.46,119.15,74.69,3.6
251,1560992642,Goderich,CA,100,88,43.74,-81.71,68.0,5.55
252,1560992645,Santa Lucia,IT,5,77,39.93,9.66,68.0,4.7
253,1560992457,Gorontalo,ID,86,80,0.54,123.06,80.45,9.01
254,1560992651,Svetlogorsk,RU,38,76,53.14,59.15,50.0,8.95
255,1560992653,Peresichna,UA,0,68,50.02,35.98,68.0,8.95
256,1560992657,Lebu,ET,75,76,8.96,38.73,57.2,9.17
257,1560992451,Coihaique,CL,40,65,-45.58,-72.07,44.6,4.7
258,1560992662,Brae,GB,98,93,60.4,-1.35,50.0,5.82
259,1560992666,Halifax,CA,90,72,44.65,-63.58,64.99,4.7
260,1560992668,Port-Gentil,GA,0,84,-0.72,8.78,75.59,13.31
261,1560992669,Tuy Hoa,VN,100,76,13.08,109.3,80.09,3.51
262,1560992672,Senanga,ZM,0,58,-16.1,23.3,51.47,6.67
263,1560992673,Ust-Nera,RU,25,45,64.57,143.24,62.27,3.62
264,1560992675,Pangkalanbuun,ID,76,95,-2.68,111.62,75.23,1.83
265,1560992676,Sambava,MG,0,89,-14.27,50.17,63.35,3.65
266,1560992677,Komsomolskiy,RU,96,91,67.55,63.78,31.85,9.71
267,1560992550,Fairbanks,US,90,46,64.84,-147.72,79.0,6.93
268,1560992680,Hami,CN,100,16,42.84,93.51,84.77,14.27
269,1560992466,Debre Birhan,ET,55,80,9.68,39.53,55.25,1.19
270,1560992682,Berlevag,NO,96,76,70.86,29.09,40.85,13.06
271,1560992468,Lorengau,PG,99,76,-2.02,147.27,83.87,9.89
272,1560992685,Liberty,US,40,94,39.64,-84.93,71.6,5.06
273,1560992686,Hamilton,BM,75,78,32.3,-64.78,79.0,18.34
274,1560992687,Nemuro,JP,75,93,43.32,145.57,59.0,6.93
275,1560992688,Parana,BR,0,88,-7.52,-72.89,78.8,0.94
276,1560992691,Santa Rosa,AR,24,53,-36.62,-64.29,47.87,4.18
277,1560992692,Baykit,RU,39,93,61.68,96.39,49.13,8.86
278,1560992609,Waynesboro,US,1,65,35.32,-87.76,87.01,8.05
279,1560992694,Luderitz,NA,57,27,-26.65,15.16,73.4,9.17
280,1560992695,Bima,ID,15,83,-8.45,118.73,72.35,4.16
281,1560992697,Kysyl-Syr,RU,0,51,63.9,122.77,77.39,1.21
282,1560992698,Kaeo,NZ,100,94,-35.1,173.78,57.0,16.64
283,1560992699,Nokaneng,BW,0,35,-19.66,22.19,51.11,7.34
284,1560992700,Shingu,JP,0,69,33.72,135.99,77.0,8.05
285,1560992701,Petropavlovsk-Kamchatskiy,RU,75,100,53.05,158.65,48.2,8.95
286,1560992702,Urengoy,RU,43,49,65.96,78.37,44.63,8.39
287,1560992704,Lokosovo,RU,30,61,61.13,74.84,50.75,8.43
